Suburb,Crashes Since 2020,Population (2021 Census),Mobile,DDS,Fixed,Total,Median_Personal_Inc_Weekly,Gender_Ratio_M_F,Vehicles_0,Vehicles_1,Vehicles_2,Vehicles_3,Vehicles_4plus,Total_Vehicles,Percentage no vehicle,Lab_Force_Participation_Pct,Top_Non_AU_Ancestry_Pct,Tram Stops,V-Line Train,Bus Routes,Bus Stops.1,Metro Train,Train Lines,lgaregion,Cameras_Per_1000,Schools_Total,Schools_Govt,Schools_Primary,Schools_Secondary
WINNINDOO,3.0,127.0,1.0,0.0,0.0,1.0,831.0,0.8358,0.0,3.0,12.0,11.0,12.0,34.0,0.0,68.4000015258789,37.0,0.0,0.0,0.0,0.0,,,Mansfield,7.87,0,0,0,0
WINTER VALLEY,49.0,3440.0,1.0,2.0,0.0,3.0,921.0,0.9348,6.0,301.0,582.0,184.0,87.0,1168.0,0.5,76.4000015258789,39.9,0.0,0.0,1.0,6.0,,,Ballarat,0.87,0,0,0,0
WINTON NORTH,12.0,8.0,1.0,0.0,0.0,1.0,724.0,1.3333,0.0,0.0,0.0,0.0,0.0,5.0,0.0,80.0,62.5,0.0,0.0,0.0,0.0,,,Mansfield,125.0,0,0,0,0
WISELEIGH,0.0,177.0,1.0,0.0,0.0,1.0,619.0,1.0227,0.0,18.0,26.0,11.0,11.0,65.0,0.0,56.4000015258789,52.0,0.0,0.0,0.0,0.0,,,East Gippsland,5.65,0,0,0,0
WODONGA WEST,0.0,,1.0,0.0,0.0,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1,0,1,0
WONGARRA,7.0,47.0,1.0,0.0,0.0,1.0,525.0,0.84,0.0,5.0,14.0,0.0,4.0,20.0,0.0,43.2000007629395,51.1,0.0,0.0,0.0,0.0,,,Greater Geelong,21.28,0,0,0,0
WONWONDAH NORTH,0.0,,1.0,0.0,0.0,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0
WOOD WOOD,1.0,91.0,1.0,0.0,0.0,1.0,545.0,0.8302,0.0,5.0,7.0,6.0,5.0,33.0,0.0,49.4000015258789,35.2,0.0,0.0,1.0,2.0,,,Swan Hill,10.99,0,0,0,0
WOODEND,48.0,6732.0,1.0,0.0,0.0,1.0,857.0,0.9496,70.0,798.0,997.0,363.0,195.0,2430.0,2.9,60.5999984741211,43.9,0.0,1.0,1.0,1.0,,,Moorabool,0.15,3,1,2,0
WOODEND NORTH,0.0,315.0,1.0,0.0,0.0,1.0,904.0,0.875,0.0,11.0,46.0,15.0,23.0,100.0,0.0,63.2999992370606,37.8,0.0,0.0,0.0,0.0,,,Moorabool,3.17,0,0,0,0
WOODFIELD,10.0,62.0,1.0,0.0,0.0,1.0,860.0,1.2692,0.0,4.0,12.0,5.0,5.0,18.0,0.0,58.2000007629395,38.7,0.0,0.0,1.0,2.0,,,Murrindindi,16.13,0,0,0,0
WOORINEN NORTH,3.0,94.0,1.0,0.0,0.0,1.0,813.0,1.3023,0.0,10.0,13.0,5.0,9.0,36.0,0.0,63.2999992370606,30.9,0.0,0.0,0.0,0.0,,,Swan Hill,10.64,0,0,0,0
WOORINEN SOUTH,0.0,404.0,1.0,0.0,0.0,1.0,592.0,1.0653,0.0,31.0,58.0,30.0,17.0,142.0,0.0,55.7000007629395,38.9,0.0,0.0,0.0,0.0,,,Swan Hill,2.48,1,1,1,0
WOOSANG,0.0,12.0,1.0,0.0,0.0,1.0,425.0,0.7778,0.0,0.0,0.0,0.0,0.0,3.0,0.0,42.9000015258789,50.0,0.0,0.0,0.0,0.0,,,Buloke,83.33,0,0,0,0
WYCHEPROOF,3.0,610.0,1.0,1.0,0.0,2.0,614.0,1.0131,14.0,96.0,92.0,41.0,16.0,262.0,5.3,45.5999984741211,37.9,0.0,0.0,1.0,2.0,,,Loddon,3.28,1,1,0,0
WYCHEPROOF SOUTH,0.0,6.0,1.0,0.0,0.0,1.0,687.0,1.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,62.5,83.3,0.0,0.0,0.0,0.0,,,Loddon,166.67,0,0,0,0
WYUNA,6.0,278.0,1.0,0.0,0.0,1.0,808.0,1.0,0.0,16.0,38.0,18.0,24.0,98.0,0.0,68.3000030517578,38.1,0.0,0.0,0.0,0.0,,,Greater Shepparton,3.6,0,0,0,0
YALLOURN NORTH,38.0,1511.0,1.0,0.0,0.0,1.0,659.0,0.996,21.0,182.0,199.0,111.0,66.0,576.0,3.6,57.9000015258789,38.6,0.0,0.0,1.0,14.0,,,Wellington,0.66,1,1,1,0
YANAKIE,3.0,283.0,1.0,0.0,0.0,1.0,708.0,1.0803,4.0,25.0,40.0,25.0,13.0,104.0,3.8,59.7000007629395,39.9,0.0,0.0,0.0,0.0,,,South Gippsland,3.53,0,0,0,0
YARCK,5.0,194.0,1.0,0.0,0.0,1.0,638.0,0.9785,0.0,23.0,30.0,14.0,12.0,75.0,0.0,61.9000015258789,42.8,0.0,0.0,1.0,2.0,,,Murrindindi,5.15,0,0,0,0
YARRABERB,0.0,17.0,1.0,0.0,0.0,1.0,850.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,62.5,58.8,0.0,0.0,0.0,0.0,,,Greater Bendigo,58.82,0,0,0,0
YARRAGON,4.0,1893.0,1.0,1.0,0.0,2.0,712.0,0.9916,20.0,231.0,303.0,109.0,76.0,739.0,2.7,58.5999984741211,45.2,0.0,1.0,0.0,0.0,,,Baw Baw,1.06,1,1,1,0
YATPOOL,0.0,,1.0,0.0,0.0,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0
YEA,7.0,1789.0,1.0,0.0,0.0,1.0,580.0,0.9616,31.0,271.0,282.0,101.0,68.0,749.0,4.1,48.2999992370606,46.7,0.0,0.0,1.0,1.0,,,Mitchell,0.56,3,2,2,1
YELTA,2.0,325.0,1.0,0.0,0.0,1.0,658.0,1.0314,0.0,16.0,47.0,26.0,18.0,106.0,0.0,59.4000015258789,40.0,0.0,0.0,0.0,0.0,,,Mildura,3.08,0,0,0,0
YEODENE,7.0,107.0,1.0,0.0,0.0,1.0,812.0,1.2553,0.0,10.0,14.0,7.0,10.0,38.0,0.0,72.1999969482422,40.2,0.0,0.0,0.0,0.0,,,Corangamite,9.35,0,0,0,0
YIELIMA,2.0,93.0,1.0,1.0,0.0,2.0,560.0,0.9583,0.0,3.0,10.0,10.0,6.0,29.0,0.0,63.7999992370606,47.3,0.0,0.0,0.0,0.0,,,Moira,21.51,0,0,0,0
YULECART,0.0,128.0,1.0,0.0,0.0,1.0,890.0,0.8971,0.0,8.0,14.0,13.0,17.0,49.0,0.0,82.6999969482422,42.2,0.0,0.0,0.0,0.0,,,Glenelg,7.81,0,0,0,0
YUROKE,5.0,123.0,1.0,0.0,0.0,1.0,612.0,0.8788,0.0,7.0,14.0,7.0,10.0,44.0,0.0,51.7000007629395,34.1,0.0,0.0,0.0,0.0,,,Hume,8.13,0,0,0,0
ZEERUST,1.0,147.0,1.0,0.0,0.0,1.0,841.0,1.2,0.0,5.0,17.0,14.0,13.0,45.0,0.0,72.9000015258789,40.1,0.0,0.0,0.0,0.0,,,Moira,6.8,1,1,1,0
ATTWOOD,51.0,3309.0,1.0,1.0,0.0,2.0,824.0,0.9785,27.0,224.0,470.0,228.0,151.0,1100.0,2.5,69.5999984741211,22.2,0.0,0.0,1.0,5.0,,,Hume,0.6,0,0,0,0
BAYSWATER,167.0,12262.0,0.0,0.0,2.0,2.0,785.0,0.9641,275.0,1930.0,1811.0,536.0,223.0,4777.0,5.8,63.0,29.9,0.0,0.0,6.0,62.0,1.0,1.0,Maroondah,0.16,5,4,4,1
BURNSIDE HEIGHTS,0.0,6377.0,1.0,0.0,0.0,1.0,803.0,0.9712,28.0,361.0,866.0,303.0,145.0,1703.0,1.6,70.5999984741211,12.3,0.0,0.0,3.0,14.0,,,Brimbank,0.16,1,1,1,0
BURWOOD EAST,24.0,10675.0,0.0,0.0,1.0,1.0,676.0,0.9652,277.0,1557.0,1552.0,390.0,196.0,3970.0,7.0,57.7999992370606,30.4,4.0,0.0,7.0,51.0,,,Whitehorse,0.09,5,5,2,1
CORONET BAY,0.0,1108.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,South Gippsland,,0,0,0,0
EVERTON UPPER,1.0,154.0,1.0,0.0,0.0,1.0,762.0,1.1806,0.0,6.0,17.0,15.0,14.0,50.0,0.0,61.9000015258789,37.0,0.0,0.0,0.0,0.0,,,Moira,6.49,0,0,0,0
