Suburb,Crashes Since 2020,Population (2021 Census),Mobile,DDS,Fixed,Total,Median_Personal_Inc_Weekly,Gender_Ratio_M_F,Vehicles_0,Vehicles_1,Vehicles_2,Vehicles_3,Vehicles_4plus,Total_Vehicles,Percentage no vehicle,Lab_Force_Participation_Pct,Top_Non_AU_Ancestry_Pct,Tram Stops,V-Line Train,Bus Routes,Bus Stops.1,Metro Train,Train Lines,lgaregion,Cameras_Per_1000,Schools_Total,Schools_Govt,Schools_Primary,Schools_Secondary
BERWICK,524.0,50298.0,7.0,3.0,0.0,10.0,852.0,0.948,476.0,4733.0,7374.0,2474.0,1414.0,16470.0,2.9,66.9000015258789,29.1,0.0,1.0,16.0,222.0,1.0,1.0,Casey,0.2,12,9,7,3
BUNDOORA,729.0,28068.0,7.0,5.0,1.0,13.0,690.0,1.0303,655.0,3539.0,3724.0,1264.0,697.0,9880.0,6.6,60.9000015258789,18.9,0.0,0.0,16.0,110.0,,,Darebin,0.46,7,4,3,2
ECHUCA,187.0,15056.0,7.0,0.0,1.0,8.0,710.0,0.9183,375.0,2077.0,2186.0,765.0,409.0,5817.0,6.4,56.9000015258789,42.9,0.0,1.0,6.0,64.0,,,Campaspe,0.53,8,5,4,2
EPPING,1114.0,33489.0,7.0,1.0,0.0,8.0,709.0,0.9924,459.0,3580.0,4354.0,1399.0,732.0,10526.0,4.4,60.7000007629395,14.3,0.0,0.0,12.0,164.0,1.0,1.0,Whittlesea,0.24,9,6,5,3
GLENROY,516.0,23792.0,7.0,0.0,0.0,7.0,759.0,1.0,897.0,3846.0,2728.0,641.0,357.0,8467.0,10.6,60.0,16.1,0.0,0.0,7.0,80.0,2.0,1.0,Moreland,0.29,7,5,4,1
GREENVALE,171.0,21274.0,7.0,1.0,0.0,8.0,796.0,0.9961,94.0,1188.0,2860.0,1225.0,889.0,6255.0,1.5,66.0999984741211,20.7,0.0,0.0,3.0,79.0,,,Hume,0.38,6,3,4,1
KEW,806.0,24499.0,6.0,1.0,5.0,12.0,1120.0,0.9251,553.0,3667.0,3398.0,905.0,444.0,8969.0,6.2,63.5999984741211,29.1,72.0,0.0,9.0,70.0,,,Boroondara,0.49,11,1,2,0
KEYSBOROUGH,611.0,30018.0,7.0,1.0,0.0,8.0,728.0,0.9888,338.0,2235.0,4035.0,1538.0,860.0,9009.0,3.8,63.0999984741211,19.0,0.0,0.0,8.0,123.0,,,Greater Dandenong,0.27,6,2,3,0
LANGWARRIN,107.0,23588.0,7.0,0.0,0.0,7.0,868.0,0.9475,219.0,2476.0,3573.0,1304.0,884.0,8449.0,2.6,68.5999984741211,45.0,0.0,0.0,6.0,86.0,,,Frankston,0.3,5,4,4,1
MARYBOROUGH,63.0,8160.0,7.0,0.0,0.0,7.0,511.0,0.9194,277.0,1571.0,1145.0,360.0,190.0,3544.0,7.8,42.7000007629395,45.9,0.0,1.0,5.0,83.0,,,Mount Alexander,0.86,3,1,1,1
MORWELL,139.0,14389.0,7.0,2.0,0.0,9.0,522.0,0.9795,584.0,2494.0,1795.0,511.0,260.0,5649.0,10.3,44.4000015258789,36.3,0.0,1.0,6.0,104.0,,,Latrobe (Vic.),0.63,4,3,3,1
ROSEBUD,232.0,14381.0,7.0,1.0,0.0,8.0,624.0,0.8988,323.0,2426.0,2143.0,644.0,314.0,5855.0,5.5,49.0999984741211,43.2,0.0,0.0,3.0,32.0,,,Mornington Peninsula,0.56,4,2,2,1
BRIGHTON EAST,326.0,16757.0,6.0,1.0,2.0,9.0,1036.0,0.9165,311.0,2052.0,2572.0,685.0,322.0,5948.0,5.2,61.2000007629395,31.4,3.0,0.0,6.0,55.0,,,Glen Eira,0.54,4,2,2,1
ALBERT PARK,280.0,6044.0,6.0,0.0,0.0,6.0,1333.0,0.9021,307.0,1198.0,801.0,144.0,46.0,2489.0,12.3,63.9000015258789,36.6,0.0,0.0,2.0,8.0,,,Port Phillip,0.99,3,3,2,1
ALTONA NORTH,285.0,12962.0,6.0,2.0,2.0,10.0,753.0,0.9316,471.0,1765.0,1711.0,449.0,213.0,4616.0,10.2,56.2999992370606,20.2,0.0,0.0,9.0,106.0,,,Hobsons Bay,0.77,3,1,2,1
CASTLEMAINE,20.0,7506.0,6.0,4.0,0.0,10.0,668.0,1.0056,276.0,1497.0,936.0,271.0,129.0,3111.0,8.9,44.2999992370606,41.2,0.0,1.0,7.0,41.0,,,Mount Alexander,1.33,5,4,4,1
CROYDON,102.0,28608.0,6.0,2.0,1.0,9.0,816.0,0.8907,646.0,4580.0,4360.0,1027.0,615.0,11227.0,5.8,62.2999992370606,37.2,0.0,0.0,13.0,142.0,1.0,1.0,Maroondah,0.31,7,6,5,2
KEILOR DOWNS,7.0,9857.0,6.0,1.0,0.0,7.0,586.0,0.9736,168.0,1004.0,1309.0,538.0,323.0,3343.0,5.0,54.5999984741211,12.5,0.0,0.0,5.0,45.0,,,Brimbank,0.71,4,3,3,1
KERANG,24.0,3960.0,6.0,2.0,0.0,8.0,573.0,0.9285,117.0,628.0,543.0,205.0,115.0,1604.0,7.3,47.0,45.5,0.0,1.0,1.0,1.0,,,Swan Hill,2.02,5,3,3,1
LALOR,0.0,23219.0,6.0,0.0,0.0,6.0,542.0,0.9975,661.0,2875.0,2800.0,971.0,461.0,7767.0,8.5,51.5999984741211,12.5,0.0,0.0,8.0,76.0,1.0,1.0,Whittlesea,0.26,7,6,4,2
NEWBOROUGH,97.0,6886.0,6.0,4.0,0.0,10.0,626.0,0.9202,198.0,1042.0,937.0,345.0,198.0,2724.0,7.3,52.5,40.0,0.0,0.0,5.0,51.0,,,Wellington,1.45,4,3,3,1
NOBLE PARK,0.0,32257.0,6.0,0.0,2.0,8.0,628.0,1.0093,1024.0,4552.0,3517.0,1173.0,566.0,10839.0,9.4,56.7999992370606,12.8,0.0,0.0,7.0,76.0,2.0,1.0,Greater Dandenong,0.25,8,7,5,1
STRATHMORE,0.0,8980.0,6.0,0.0,1.0,7.0,1020.0,0.9969,104.0,903.0,1370.0,417.0,257.0,3052.0,3.4,68.5,25.8,0.0,0.0,3.0,44.0,,,Moonee Valley,0.78,4,3,3,1
SUNSHINE NORTH,280.0,12047.0,6.0,0.0,0.0,6.0,546.0,0.9899,334.0,1346.0,1310.0,516.0,256.0,3770.0,8.9,53.9000015258789,34.1,0.0,0.0,5.0,43.0,,,Brimbank,0.5,5,3,4,0
SUNSHINE WEST,28.0,18552.0,6.0,0.0,0.0,6.0,565.0,1.0218,479.0,2297.0,2159.0,784.0,384.0,6105.0,7.8,53.0999984741211,19.4,0.0,1.0,7.0,88.0,,,Brimbank,0.32,6,3,4,2
TOORAK,415.0,12817.0,6.0,0.0,0.0,6.0,1427.0,0.8684,479.0,2379.0,1760.0,503.0,298.0,5420.0,8.8,59.5,32.0,0.0,0.0,3.0,25.0,1.0,1.0,Stonnington,0.47,4,1,1,0
TRARALGON,262.0,26907.0,6.0,4.0,0.0,10.0,767.0,0.9208,631.0,3927.0,4056.0,1237.0,629.0,10480.0,6.0,59.5999984741211,40.2,0.0,1.0,14.0,125.0,,,Wellington,0.37,8,6,5,2
TULLAMARINE,0.0,6733.0,6.0,3.0,0.0,9.0,726.0,0.98,181.0,1241.0,999.0,237.0,119.0,2776.0,6.5,58.0,22.4,3.0,0.0,7.0,53.0,,,Brimbank,1.34,1,1,1,0
MOUNT WAVERLEY,218.0,35340.0,5.0,0.0,6.0,11.0,810.0,0.9669,530.0,4402.0,5236.0,1508.0,689.0,12363.0,4.3,61.2999992370606,26.7,0.0,0.0,9.0,119.0,2.0,1.0,Monash,0.31,9,7,7,2
ASCOT,0.0,2571.0,5.0,2.0,0.0,7.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,Central Goldfields,2.72,0,0,0,0
ASCOT VALE,221.0,15197.0,5.0,0.0,0.0,5.0,1080.0,0.9666,706.0,2727.0,1901.0,401.0,143.0,5882.0,12.0,68.8000030517578,27.0,0.0,0.0,6.0,44.0,1.0,1.0,Maribyrnong,0.33,4,3,3,0
AVENEL,22.0,1112.0,5.0,0.0,0.0,5.0,749.0,0.9681,4.0,138.0,171.0,76.0,54.0,447.0,0.9,60.0999984741211,45.1,0.0,1.0,0.0,0.0,,,Mitchell,4.5,1,1,1,0
BANGHOLME,14.0,749.0,5.0,2.0,0.0,7.0,505.0,0.8622,68.0,243.0,61.0,20.0,24.0,422.0,16.1,22.7000007629395,39.5,0.0,0.0,4.0,13.0,,,Casey,9.35,1,0,0,0
CALIFORNIA GULLY,111.0,4476.0,5.0,0.0,0.0,5.0,588.0,0.8701,122.0,717.0,593.0,193.0,108.0,1739.0,7.0,51.2999992370606,40.6,0.0,0.0,2.0,24.0,,,Loddon,1.12,1,1,1,0
CAROLINE SPRINGS,193.0,24488.0,5.0,4.0,0.0,9.0,823.0,0.9756,193.0,2095.0,3376.0,1151.0,629.0,7443.0,2.6,68.9000015258789,14.1,0.0,0.0,8.0,94.0,,,Brimbank,0.37,8,4,3,2
CARRUM DOWNS,170.0,21976.0,5.0,0.0,1.0,6.0,817.0,0.9527,375.0,3007.0,3286.0,1030.0,500.0,8203.0,4.6,66.8000030517578,36.2,0.0,0.0,5.0,105.0,,,Frankston,0.27,4,3,3,1
CLAYTON,407.0,18988.0,5.0,2.0,2.0,9.0,594.0,1.1601,1019.0,2765.0,1625.0,396.0,208.0,6010.0,17.0,59.9000015258789,24.6,0.0,1.0,17.0,89.0,1.0,1.0,Monash,0.47,3,2,2,1
COBRAM,67.0,6148.0,5.0,4.0,0.0,9.0,598.0,1.0078,175.0,1010.0,808.0,295.0,151.0,2448.0,7.1,48.5999984741211,39.1,0.0,0.0,1.0,1.0,,,Moira,1.46,5,3,2,1
COBURG,354.0,26574.0,5.0,0.0,4.0,9.0,894.0,0.9372,1326.0,4710.0,2942.0,785.0,357.0,10112.0,13.1,68.0999984741211,25.3,47.0,0.0,11.0,100.0,2.0,1.0,Darebin,0.34,10,6,5,3
DROMANA,30.0,6626.0,5.0,1.0,0.0,6.0,677.0,0.9738,110.0,991.0,1109.0,301.0,158.0,2668.0,4.1,51.2999992370606,39.7,0.0,0.0,3.0,16.0,,,Mornington Peninsula,0.91,3,3,1,1
DROUIN,136.0,15287.0,5.0,3.0,0.0,8.0,694.0,0.9117,181.0,1933.0,2325.0,778.0,440.0,5661.0,3.2,57.7000007629395,44.4,0.0,1.0,2.0,48.0,,,Baw Baw,0.52,4,2,2,1
EAGLEHAWK,60.0,5538.0,5.0,0.0,0.0,5.0,629.0,0.9418,181.0,911.0,778.0,302.0,147.0,2306.0,7.8,54.4000015258789,44.5,0.0,1.0,4.0,45.0,,,Loddon,0.9,4,3,3,1
EAST BENDIGO,35.0,2246.0,5.0,0.0,0.0,5.0,715.0,0.9219,82.0,406.0,323.0,90.0,61.0,967.0,8.5,54.5999984741211,40.0,0.0,0.0,2.0,24.0,,,Greater Bendigo,2.23,0,0,0,0
ELWOOD,304.0,15153.0,5.0,0.0,0.0,5.0,1364.0,0.8938,812.0,4009.0,1917.0,319.0,130.0,7186.0,11.3,74.6999969482422,36.7,6.0,0.0,6.0,39.0,,,Port Phillip,0.33,4,2,2,1
ESSENDON,0.0,21240.0,5.0,0.0,0.0,5.0,1067.0,0.9413,763.0,3760.0,2690.0,777.0,455.0,8449.0,9.0,69.0,26.6,32.0,1.0,12.0,95.0,3.0,2.0,Moonee Valley,0.24,6,2,2,3
FAWKNER,333.0,14274.0,5.0,0.0,0.0,5.0,592.0,1.0409,478.0,1929.0,1485.0,470.0,257.0,4615.0,10.4,54.4000015258789,18.5,0.0,0.0,4.0,79.0,1.0,1.0,Hume,0.35,4,3,3,1
GLEN IRIS,38.0,26131.0,5.0,0.0,3.0,8.0,1179.0,0.9261,547.0,3975.0,3803.0,992.0,469.0,9787.0,5.6,68.5999984741211,32.2,54.0,0.0,5.0,50.0,3.0,2.0,Stonnington,0.31,6,2,4,0
GLEN WAVERLEY,620.0,42642.0,5.0,1.0,3.0,9.0,707.0,0.9771,802.0,5086.0,5871.0,1787.0,736.0,14281.0,5.6,57.5999984741211,38.0,0.0,0.0,13.0,171.0,2.0,1.0,Monash,0.21,13,10,8,3
GREENSBOROUGH,0.0,21070.0,5.0,0.0,1.0,6.0,903.0,0.9561,316.0,2513.0,3418.0,923.0,517.0,7685.0,4.1,65.0,33.4,6.0,0.0,9.0,103.0,2.0,1.0,Nillumbik,0.28,7,6,5,1
GROVEDALE,0.0,14869.0,5.0,0.0,1.0,6.0,705.0,0.9148,307.0,2135.0,2230.0,706.0,376.0,5755.0,5.3,59.2000007629395,40.3,0.0,0.0,7.0,83.0,,,Greater Geelong,0.4,5,4,4,1
HIGHTON,11.0,20736.0,5.0,1.0,0.0,6.0,889.0,0.9732,252.0,2203.0,3462.0,943.0,525.0,7387.0,3.4,65.4000015258789,38.4,0.0,0.0,6.0,74.0,,,Greater Geelong,0.29,4,3,3,0
KEILOR,106.0,5906.0,5.0,0.0,0.0,5.0,824.0,0.9651,97.0,517.0,927.0,306.0,249.0,2093.0,4.6,61.0,25.5,0.0,0.0,1.0,32.0,,,Hume,0.85,3,1,2,0
KEILOR PARK,0.0,2684.0,5.0,1.0,0.0,6.0,645.0,0.975,41.0,341.0,424.0,129.0,76.0,1013.0,4.0,55.5,31.7,0.0,0.0,2.0,13.0,,,Brimbank,2.24,0,0,0,0
KENNINGTON,0.0,5880.0,5.0,0.0,0.0,5.0,744.0,0.8638,184.0,997.0,831.0,241.0,109.0,2367.0,7.8,56.9000015258789,43.5,0.0,0.0,4.0,27.0,,,Greater Bendigo,0.85,2,1,2,0
MAFFRA,53.0,5384.0,5.0,0.0,0.0,5.0,669.0,0.9416,92.0,709.0,801.0,342.0,155.0,2103.0,4.4,55.0999984741211,43.6,0.0,0.0,0.0,0.0,,,Wellington,0.93,3,2,2,1
MALVERN,226.0,9929.0,5.0,1.0,0.0,6.0,1326.0,0.8729,333.0,1761.0,1379.0,334.0,151.0,3962.0,8.4,63.4000015258789,36.6,8.0,0.0,0.0,0.0,2.0,2.0,Stonnington,0.6,3,1,2,0
MELTON SOUTH,53.0,11362.0,5.0,0.0,0.0,5.0,568.0,0.9569,285.0,1624.0,1270.0,372.0,166.0,3720.0,7.7,48.9000015258789,24.6,0.0,1.0,8.0,38.0,,,Wyndham,0.44,5,3,3,1
MICKLEHAM,642.0,17452.0,5.0,0.0,0.0,5.0,864.0,1.0156,87.0,1288.0,2535.0,637.0,405.0,4952.0,1.8,68.5999984741211,14.9,0.0,0.0,4.0,47.0,,,Whittlesea,0.29,6,4,4,1
MOUNT ELIZA,76.0,18734.0,5.0,5.0,0.0,10.0,966.0,0.9458,126.0,1385.0,2963.0,1064.0,679.0,6225.0,2.0,62.0999984741211,47.3,0.0,0.0,5.0,31.0,,,Mornington Peninsula,0.53,5,4,4,1
NARRE WARREN,184.0,27689.0,5.0,0.0,1.0,6.0,741.0,0.9927,351.0,2730.0,3817.0,1405.0,743.0,9048.0,3.9,63.2999992370606,22.5,0.0,0.0,13.0,113.0,1.0,1.0,Casey,0.22,8,6,5,1
OAKLEIGH SOUTH,0.0,9851.0,5.0,0.0,1.0,6.0,770.0,0.9917,224.0,1307.0,1426.0,395.0,195.0,3541.0,6.3,63.0999984741211,17.2,0.0,0.0,9.0,73.0,,,Kingston (Vic.),0.61,3,3,2,1
PEARCEDALE,12.0,3867.0,5.0,0.0,0.0,5.0,785.0,1.0321,22.0,196.0,480.0,287.0,280.0,1267.0,1.7,66.6999969482422,45.4,0.0,0.0,2.0,17.0,,,Casey,1.29,1,1,1,0
RED CLIFFS,27.0,5294.0,5.0,2.0,0.0,7.0,674.0,1.0237,107.0,575.0,697.0,312.0,191.0,1876.0,5.7,55.7000007629395,38.8,0.0,0.0,2.0,19.0,,,Mildura,1.32,4,3,3,1
SPRINGVALE,898.0,22174.0,6.0,3.0,0.0,9.0,558.0,1.0597,719.0,2724.0,2257.0,829.0,467.0,7002.0,10.3,53.9000015258789,23.1,0.0,0.0,12.0,84.0,2.0,1.0,Greater Dandenong,0.41,7,4,4,1
STAWELL,25.0,6220.0,5.0,3.0,0.0,8.0,658.0,0.9762,160.0,981.0,885.0,314.0,193.0,2539.0,6.3,52.0,39.9,0.0,0.0,3.0,53.0,,,Northern Grampians,1.29,5,4,3,1
TAYLORS LAKES,4.0,15174.0,5.0,1.0,1.0,7.0,759.0,0.9826,147.0,1054.0,1942.0,1046.0,728.0,4918.0,3.0,64.3000030517578,17.2,0.0,1.0,12.0,64.0,,,Brimbank,0.46,2,2,1,1
TEMPLESTOWE,257.0,16966.0,5.0,2.0,0.0,7.0,781.0,0.9357,166.0,1488.0,2546.0,907.0,550.0,5662.0,2.9,56.7999992370606,23.9,0.0,0.0,13.0,110.0,,,Manningham,0.41,3,2,3,0
THORNBURY,0.0,19005.0,4.0,0.0,2.0,6.0,1042.0,0.913,1148.0,3771.0,2283.0,506.0,207.0,7917.0,14.5,71.1999969482422,29.7,23.0,0.0,6.0,63.0,1.0,1.0,Darebin,0.32,6,5,4,1
TRUGANINA,529.0,36305.0,5.0,2.0,0.0,7.0,887.0,1.1234,188.0,3298.0,4549.0,1134.0,470.0,9634.0,2.0,67.5999984741211,26.2,0.0,0.0,6.0,97.0,,,Melton,0.19,8,6,3,1
WALLAN,156.0,15004.0,5.0,3.0,0.0,8.0,844.0,1.0133,78.0,1214.0,2147.0,851.0,520.0,4811.0,1.6,67.6999969482422,32.8,0.0,1.0,1.0,2.0,,,Macedon Ranges,0.53,2,2,1,1
WHEELERS HILL,419.0,20652.0,5.0,2.0,0.0,7.0,720.0,0.9424,486.0,1980.0,3166.0,1018.0,547.0,7200.0,6.8,53.5,24.8,0.0,0.0,13.0,105.0,,,Monash,0.34,8,6,6,1
BACCHUS MARSH,71.0,7808.0,4.0,0.0,0.0,4.0,771.0,0.9248,194.0,1217.0,1133.0,369.0,200.0,3106.0,6.2,57.5999984741211,39.2,0.0,0.0,2.0,31.0,,,Melton,0.51,5,3,3,1
BRIGHTON,163.0,23252.0,4.0,0.0,1.0,5.0,1259.0,0.8913,449.0,3493.0,3512.0,951.0,491.0,8894.0,5.0,59.4000015258789,37.4,0.0,0.0,12.0,114.0,4.0,1.0,Bayside (Vic.),0.22,8,3,5,1
BRUNSWICK,207.0,24896.0,4.0,0.0,0.0,4.0,1085.0,0.9392,2329.0,5702.0,2201.0,510.0,187.0,10931.0,21.3,74.5,31.1,10.0,0.0,7.0,82.0,3.0,1.0,Moreland,0.16,2,2,0,2
LILYDALE,335.0,17348.0,5.0,0.0,0.0,5.0,798.0,0.9443,290.0,2073.0,2581.0,901.0,648.0,6490.0,4.5,64.5999984741211,43.4,0.0,0.0,10.0,87.0,1.0,1.0,Yarra Ranges,0.29,8,4,3,3
MELTON WEST,0.0,8784.0,5.0,0.0,0.0,5.0,636.0,0.9699,110.0,937.0,1155.0,436.0,258.0,2892.0,3.8,57.0,31.3,0.0,0.0,7.0,54.0,,,Macedon Ranges,0.57,4,2,3,0
POINT COOK,76.0,66781.0,5.0,2.0,1.0,8.0,969.0,1.0051,483.0,6691.0,9332.0,2389.0,993.0,19883.0,2.4,71.4000015258789,17.4,0.0,0.0,6.0,122.0,,,Wyndham,0.12,10,7,3,2
TORQUAY,136.0,18534.0,5.0,2.0,0.0,7.0,1018.0,0.952,108.0,1779.0,3165.0,835.0,441.0,6323.0,1.7,67.5,43.2,0.0,0.0,4.0,63.0,,,Surf Coast,0.38,4,3,3,1
BALWYN,28.0,13495.0,4.0,0.0,2.0,6.0,850.0,0.8713,358.0,2027.0,1941.0,493.0,217.0,5044.0,7.1,57.7000007629395,34.4,0.0,0.0,5.0,39.0,,,Boroondara,0.44,4,2,1,0
BENTLEIGH EAST,486.0,30159.0,4.0,0.0,1.0,5.0,927.0,0.9604,502.0,3757.0,4761.0,1165.0,535.0,10723.0,4.7,67.1999969482422,23.0,0.0,0.0,9.0,145.0,,,Glen Eira,0.17,5,4,4,1
BLACKBURN SOUTH,15.0,10939.0,4.0,0.0,0.0,4.0,753.0,0.9517,356.0,1388.0,1595.0,407.0,223.0,3972.0,9.0,60.2999992370606,25.1,0.0,0.0,5.0,47.0,,,Whitehorse,0.37,3,2,2,0
BROADFORD,74.0,4592.0,4.0,2.0,0.0,6.0,712.0,0.9948,80.0,530.0,641.0,275.0,220.0,1743.0,4.6,60.7999992370606,42.7,0.0,1.0,0.0,0.0,,,Murrindindi,1.31,2,2,1,1
CAMPBELLS CREEK,29.0,2071.0,4.0,1.0,0.0,5.0,709.0,0.8767,20.0,250.0,341.0,105.0,87.0,804.0,2.5,59.7000007629395,47.3,0.0,0.0,1.0,11.0,,,Hepburn,2.41,2,1,1,0
CHELTENHAM,483.0,23992.0,4.0,0.0,2.0,6.0,924.0,0.9159,649.0,3940.0,3624.0,788.0,364.0,9362.0,6.9,65.3000030517578,32.2,0.0,0.0,13.0,135.0,2.0,1.0,Bayside (Vic.),0.25,6,5,5,1
CLARINDA,9.0,7441.0,4.0,2.0,0.0,6.0,640.0,0.9533,179.0,901.0,941.0,360.0,154.0,2533.0,7.1,54.5999984741211,15.4,0.0,0.0,5.0,35.0,,,Kingston (Vic.),0.81,2,1,1,0
CLYDE,32.0,11177.0,4.0,1.0,0.0,5.0,981.0,0.974,39.0,921.0,1859.0,457.0,210.0,3491.0,1.1,77.4000015258789,20.8,0.0,0.0,5.0,23.0,,,Cardinia,0.45,3,3,2,1
CORIO,358.0,15497.0,4.0,3.0,1.0,8.0,537.0,0.9751,518.0,2239.0,1828.0,587.0,303.0,5482.0,9.4,49.7999992370606,31.9,0.0,1.0,5.0,74.0,,,Greater Geelong,0.52,3,1,1,0
DEER PARK,160.0,18145.0,4.0,0.0,0.0,4.0,619.0,1.0182,329.0,2108.0,2221.0,742.0,357.0,5761.0,5.7,54.7000007629395,13.4,0.0,1.0,8.0,69.0,,,Brimbank,0.22,3,2,3,0
DELAHEY,0.0,8077.0,4.0,0.0,0.0,4.0,611.0,0.9672,158.0,875.0,964.0,413.0,257.0,2663.0,5.9,58.0,12.6,0.0,0.0,4.0,30.0,,,Brimbank,0.5,2,2,1,1
DIGGERS REST,310.0,5669.0,4.0,0.0,0.0,4.0,970.0,1.0074,39.0,636.0,912.0,266.0,182.0,2031.0,1.9,71.1999969482422,26.6,0.0,0.0,2.0,30.0,1.0,1.0,Brimbank,0.71,1,1,1,0
DINGLEY VILLAGE,211.0,10495.0,4.0,2.0,0.0,6.0,799.0,0.9716,114.0,1026.0,1731.0,564.0,294.0,3733.0,3.1,63.0999984741211,32.2,0.0,0.0,5.0,60.0,,,Kingston (Vic.),0.57,2,2,2,0
EAST MELBOURNE,277.0,4896.0,4.0,0.0,4.0,8.0,1532.0,0.9246,452.0,1263.0,539.0,71.0,44.0,2373.0,19.0,69.0,38.1,11.0,0.0,12.0,9.0,2.0,2.0,Melbourne,1.63,0,0,0,0
EILDON,102.0,944.0,4.0,0.0,0.0,4.0,580.0,1.1575,21.0,184.0,157.0,40.0,22.0,423.0,5.0,44.5999984741211,47.4,0.0,0.0,1.0,1.0,,,Mansfield,4.24,1,1,1,0
ELTHAM,123.0,18847.0,4.0,0.0,0.0,4.0,971.0,0.9537,149.0,1801.0,2991.0,970.0,623.0,6536.0,2.3,66.5,40.5,0.0,0.0,7.0,51.0,1.0,1.0,Banyule,0.21,5,3,3,2
EPSOM,73.0,5014.0,4.0,1.0,0.0,5.0,816.0,0.9385,36.0,530.0,800.0,247.0,142.0,1758.0,2.0,67.8000030517578,40.1,0.0,1.0,2.0,36.0,,,Mount Alexander,1.0,1,1,1,0
EUROA,43.0,3508.0,4.0,0.0,0.0,4.0,603.0,0.9301,92.0,524.0,565.0,186.0,103.0,1474.0,6.2,47.0,42.6,0.0,1.0,0.0,0.0,,,Murrindindi,1.14,3,2,2,1
HAMPTON,238.0,13518.0,4.0,0.0,0.0,4.0,1080.0,0.9386,276.0,1834.0,2012.0,559.0,243.0,4925.0,5.6,64.5,40.7,0.0,0.0,6.0,65.0,1.0,1.0,Bayside (Vic.),0.3,3,1,2,0
HEIDELBERG HEIGHTS,0.0,6758.0,4.0,0.0,0.0,4.0,923.0,0.9515,235.0,1180.0,1012.0,206.0,86.0,2723.0,8.6,66.9000015258789,27.3,0.0,0.0,7.0,39.0,,,Banyule,0.59,0,0,0,0
IVANHOE,370.0,13374.0,4.0,0.0,0.0,4.0,1084.0,0.8872,403.0,2243.0,1908.0,469.0,237.0,5265.0,7.7,66.6999969482422,29.6,0.0,0.0,9.0,62.0,2.0,1.0,Banyule,0.3,4,1,2,0
KEILOR EAST,125.0,15078.0,4.0,0.0,0.0,4.0,759.0,0.9377,260.0,1751.0,2369.0,672.0,337.0,5388.0,4.8,58.7999992370606,24.5,0.0,0.0,6.0,63.0,,,Brimbank,0.27,4,2,2,1
KILMORE,91.0,9207.0,4.0,3.0,0.0,7.0,738.0,0.9453,98.0,1144.0,1222.0,506.0,335.0,3305.0,3.0,58.9000015258789,39.0,0.0,0.0,1.0,2.0,,,Macedon Ranges,0.76,3,1,2,1
LEOPOLD,40.0,13272.0,4.0,0.0,0.0,4.0,757.0,0.9413,134.0,1614.0,2109.0,711.0,409.0,4976.0,2.7,62.0,42.2,0.0,0.0,4.0,70.0,,,Greater Geelong,0.3,1,1,1,0
LONG GULLY,0.0,3420.0,4.0,0.0,0.0,4.0,575.0,0.9225,128.0,580.0,444.0,143.0,65.0,1353.0,9.5,46.7999992370606,39.2,0.0,0.0,3.0,15.0,,,Greater Bendigo,1.17,0,0,0,0
LONGFORD,43.0,1489.0,4.0,0.0,0.0,4.0,791.0,1.0666,6.0,71.0,220.0,109.0,85.0,490.0,1.2,67.4000015258789,43.3,0.0,0.0,1.0,6.0,,,Wellington,2.69,1,1,1,0
MACLEOD,1.0,9892.0,4.0,0.0,0.0,4.0,908.0,0.9122,226.0,1553.0,1483.0,379.0,169.0,3820.0,5.9,64.0,31.2,5.0,0.0,3.0,37.0,1.0,1.0,Darebin,0.4,1,1,0,0
MAIDEN GULLY,33.0,5407.0,4.0,0.0,0.0,4.0,897.0,1.0022,11.0,238.0,806.0,375.0,268.0,1701.0,0.6,72.6999969482422,46.6,0.0,0.0,2.0,30.0,,,Mount Alexander,0.74,2,1,1,0
MELBOURNE,723.0,54941.0,3.0,1.0,8.0,12.0,864.0,0.992,16453.0,8909.0,1360.0,147.0,77.0,26941.0,61.1,68.3000030517578,30.5,235.0,1.0,26.0,55.0,5.0,17.0,Melbourne,0.22,7,2,0,3
MILL PARK,0.0,28712.0,4.0,0.0,0.0,4.0,716.0,0.9795,363.0,3108.0,3923.0,1588.0,939.0,9922.0,3.7,62.4000015258789,16.4,2.0,0.0,10.0,150.0,,,Whittlesea,0.14,6,5,5,1
MITCHAM,324.0,16795.0,4.0,0.0,0.0,4.0,911.0,0.9376,393.0,2661.0,2488.0,578.0,301.0,6415.0,6.1,67.4000015258789,29.1,0.0,0.0,10.0,92.0,1.0,1.0,Whitehorse,0.24,5,4,4,1
NUMURKAH,51.0,4604.0,4.0,4.0,0.0,8.0,613.0,0.9563,104.0,667.0,635.0,256.0,159.0,1822.0,5.7,48.2999992370606,42.3,0.0,0.0,1.0,1.0,,,Moira,1.74,3,2,2,1
NUNAWADING,90.0,12413.0,4.0,1.0,1.0,6.0,839.0,0.9482,303.0,1815.0,1756.0,390.0,198.0,4461.0,6.8,63.2000007629395,25.4,0.0,0.0,11.0,70.0,1.0,1.0,Manningham,0.48,3,1,2,1
OCEAN GROVE,98.0,17714.0,4.0,3.0,0.0,7.0,856.0,0.9004,147.0,2072.0,3048.0,852.0,376.0,6488.0,2.3,61.5,43.5,0.0,0.0,2.0,56.0,,,Greater Geelong,0.4,3,2,3,0
